icao_code,station_name,lat,lon,region
PAAQ,PALMER MUNICIPAL (ASOS),61.59491,-149.08871,Alaska Range Transition
PABA,BARTER ISLAND(AWOS),70.13399,-143.58187,North Slope
PABE,BETHEL AIRPORT (ASOS),60.78583,-161.82639,Bering Taiga
PABI,FT.GREELY/ALLEN AAF (ASOS),63.995,-145.71833,Intermontane Boreal
PABR,BARROW/POST-ROGERS (ASOS),71.28257,-156.79224,North Slope
PABT,BETTLES FIELD (ASOS),66.91611,-151.50889,Intermontane Boreal
PACD,COLD BAY AIRPORT (ASOS),55.20515,-162.72447,Aleutian Meadows
PACV,CORDOVA/MILE 13,60.48889,-145.45111,Coastal Rainforests
PACZ,CAPE ROMANZOFF AWOS,61.7803,-166.03875,Bering Taiga
PADK,ADAK NAS/MITCHELL,51.87796,-176.64603,Aleutian Meadows
PADL,DILLINGHAM (AMOS),59.04467,-158.5055,Bering Taiga
PADQ,KODIAK (ASOS),57.74997,-152.49386,Aleutian Meadows
PADT,SLANA AIRPORT,62.70889,-143.98111,Copper River & Wrangell Mountains
PADU,DUTCH HARBOR,53.90014,-166.5435,Aleutian Meadows
PAED,ELMENDORF AFB,61.25135,-149.80651,Alaska Range Transition
PAEH,CAPE NEWENHAM(AWOS),58.64643,-162.06278,Bering Taiga
PAEI,EIELSON AFB,64.66567,-147.1015,Intermontane Boreal
PAEL,ELFIN COVE SEAPLANE,58.19518,-136.34739,Coastal Rainforests
PAEN,KENAI MUNICIPAL (ASOS),60.5797,-151.2391,Alaska Range Transition
PAFA,FAIRBANKS INTL ARPT (ASOS),64.80389,-147.87611,Intermontane Boreal
PAFB,WAINWRIGHT AAF,64.8375,-147.61444,North Slope
PAGA,GALENA AIRPORT,64.73618,-156.93742,Intermontane Boreal
PAGK,GULKANA ARPT (ASOS),62.1602,-145.457,Copper River & Wrangell Mountains
PAGS,GUSTAVUS,58.42528,-135.70742,Coastal Rainforests
PAGY,SKAGWAY (ASOS),59.46006,-135.31566,Coastal Rainforests
PAHO,HOMER MUNICIPAL (ASOS),59.64556,-151.47658,Alaska Range Transition
PAIL,ILIAMNA ARPT (ASOS),59.74917,-154.90917,Alaska Range Transition
PAIM,INDIAN MTN AFS AWOS,65.99276,-153.70377,Intermontane Boreal
PAJN,JUNEAU INTL AIRPORT (ASOS),58.35497,-134.57628,Coastal Rainforests
PAKN,KING SALMON (ASOS),58.68361,-156.65389,Bering Taiga
PAKT,KETCHIKAN INTL ARPT (ASOS),55.35667,-131.71167,Coastal Rainforests
PALU,CAPE LISBURNE(AWOS),68.88333,-166.13333,North Slope
PAMC,MCGRATH (ASOS),62.95278,-155.60704,Intermontane Boreal
PAMD,MIDDLETON ISL. AMOS,59.432,-146.338,Coastal Rainforests
PAMH,MINCHUMINA,63.886,-152.30187,Intermontane Boreal
PAMR,Merrill Field,61.21633,-149.85729,Alaska Range Transition
PAMX,MCCARTHY,61.43333,-142.93333,Copper River & Wrangell Mountains
PANC,ANCHORAGE INTL ARPT (ASOS),61.16972,-150.02611,Alaska Range Transition
PANI,ANIAK (AWOS),61.5816,-159.54304,Intermontane Boreal
PANN,NENANA/MUN. (ASOS),64.54733,-149.07398,Intermontane Boreal
PANT,ANNETTE ISLAND (ASOS),55.04244,-131.57223,Coastal Rainforests
PAOM,NOME (ASOS),64.5122,-165.44525,Bering Tundra
PAOR,NORTHWAY (ASOS),62.96139,-141.92917,Intermontane Boreal
PAOT,KOTZEBUE/RALPH WIEN (ASOS),66.88469,-162.5985,Bering Tundra
PAPG,Petersburg,56.7999,-132.9501,Coastal Rainforests
PAPH,PORT HEIDEN (AMOS),56.9591,-158.63336,Aleutian Meadows
PAPR,PROSPECT CREEK,66.81406,-150.64361,Intermontane Boreal
PARY,RUBY,64.73,-155.47,Intermontane Boreal
PASC,DEADHORSE (ASOS),70.19475,-148.46517,North Slope
PASD,SAND POINT,55.31369,-160.52142,Aleutian Meadows
PASH,SHISHMAREF (AWOS),66.24957,-166.08935,Bering Tundra
PASI,SITKA/JAPONSKI ARPT (ASOS),57.04714,-135.36161,Coastal Rainforests
PASM,SAINT MARY S (AWOS),62.06083,-163.30183,Bering Taiga
PASN,SAINT PAUL ISLAND (ASOS),57.15528,-170.22222,Aleutian Meadows
PASV,SPARREVOHN (AWOS),61.09721,-155.57477,Alaska Range Transition
PASW,SKWENTNA,61.96529,-151.19137,Alaska Range Transition
PASY,SHEMYA AFB,52.71407,174.11691,Aleutian Meadows
PATA,TANANA/CALHOUN MEM (ASOS),65.17444,-152.10694,Intermontane Boreal
PATC,TIN CITY AFS (AWOS),65.56403,-167.92246,Bering Tundra
PATK,TALKEETNA (ASOS),62.32,-150.095,Alaska Range Transition
PATL,TATALINA (AWOS),62.89437,-155.97653,Intermontane Boreal
PAUN,UNALAKLEET (AWOS),63.8885,-160.79911,Bering Taiga
PAVD,VALDEZ,61.134,-146.248,Coastal Rainforests
PAWD,SEWARD (ASOS),60.12694,-149.41861,Coastal Rainforests
PAWG,WRANGELL,56.48433,-132.36983,Coastal Rainforests
PAYA,YAKUTAT (ASOS),59.50331,-139.66025,Coastal Rainforests
PFYU,FORT YUKON (AWOS),66.56667,-145.26667,Intermontane Boreal
